头像,WB_from,WB_text,forward,comment,like,缩略图,weibo_url
,,,,,,,
,,,,,,,
"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053075&ssig=DGeYf1mlGV,https://tvax4.sinaimg.cn/crop.0.0.512.512.180/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053075&ssig=8yz2uuQMMs",3月24日 23:42 来自 微博云剪,#主播说联播#【#别因为0新增被打破而垂头丧气# 】李梓萌：4月8日武汉将解除离汉离鄂通道管控，武汉等来了春暖花开。但今天武汉有1例新增确诊病例，解封真的不要紧吗？这个1需警惕，但不用慌张。防控向好大趋势没有变，局部出现个别反复病例是正常现象，不用因为0被打破就垂头丧气，更不能为了保持0 ​​​​...展开全文,816,980,9536,,https://weibo.com/2656274875/IA96P44yB?from=page_1002062656274875_profile&wvr=6&mod=weibotime
"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053075&ssig=DGeYf1mlGV",3月24日 23:01 来自 微博云剪,#共同战疫#【#国家医疗队约50%医护人员仍在战斗# 致敬！】华中科技大学同济医院院长王伟：根据中央指导组和指挥中心的决定，华中科技大学附属同济医院中法新城院区内的医护人员将最后一批撤离。现在，省属的一些医务人员已经撤离了，国家医疗队的医护人员大概还有50%还在战斗。但现在主要是轮休，还要 ​​​​...展开全文,2253,2311,47996,,https://weibo.com/2656274875/IA8PXE6A7?from=page_1002062656274875_profile&wvr=6&mod=weibotime
"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053075&ssig=DGeYf1mlGV",3月24日 22:50 来自 微博 weibo.com            	                                            已编辑,【#菲律宾航空公司暂停全部国际航班# 】据菲媒消息，今天，菲律宾航空公司决定从3月26日到4月14日暂停所有国际航班。菲律宾吕宋岛从3月17日0时开始实行“强化社区隔离”，直到4月13日0时结束。其间，大规模公共交通设施暂停运行，包括公路、航空、海运在内的交通都受到限制。（总台记者陶家乐） ​​​​,270,627,6124,https://wx1.sinaimg.cn/orj360/9e5389bbly1gd5ef87qyaj20go0gogvn.jpg,https://weibo.com/2656274875/IA8LtiiOm?from=page_1002062656274875_profile&wvr=6&mod=weibotime
"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053075&ssig=DGeYf1mlGV",3月24日 22:39 来自 微博 weibo.com,【#莫桑比克一卡车内发现64具遗体#】24日，莫桑比克西北部地区太特一集装箱卡车内发现64名非法移民死亡，另有14人幸存。经向当地线人核实，这些非法移民为埃塞俄比亚人，试图从马拉维进入到莫桑比克，在太特地区检查站被要求进行例行检查时被发现。当地卫生部门和移民执法部门已介入调查。幸存的14人也 ​​​​...展开全文,295,817,7120,https://wx2.sinaimg.cn/orj360/9e5389bbly1gd5eb0e436j20go0gogvn.jpg,https://weibo.com/2656274875/IA8HioShh?from=page_1002062656274875_profile&wvr=6&mod=weibotime
"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053075&ssig=DGeYf1mlGV",3月24日 22:20 来自 微博原生直播,【直播！2020东京奥运会，2021见！】当地时间3月24日，国际奥委会宣布，#2020东京奥运会将于2021年举行#，延期后的奥运会名称仍保留“2020东京奥运会”。戳直播↓看总台驻日本记者的最新观察↓（总台记者何欣蕾） 央视新闻的微博直播 . ​​​​,3121,1736,69241,,https://weibo.com/2656274875/IA8zlhYgJ?from=page_1002062656274875_profile&wvr=6&mod=weibotime
"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053075&ssig=DGeYf1mlGV",3月24日 21:59 来自 微博云剪            	                                            已编辑,#共同战疫#【#佟丽娅蔡徐坤合唱抗疫歌曲# 转存视频，为英雄而歌！】“选择了多少向死而生，终于等到冰雪消融；经历了多少负重前行，今夜光芒照亮天空…” 无数英雄逆行出征，守护生命，终于将要迎来湖北和武汉的“解封”时刻！戳↓听@佟丽娅 @蔡徐坤 合唱《山河无恙在我胸》，为战疫中所有努力的中 ​​​​...展开全文,1134405,16575,243725,,https://weibo.com/2656274875/IA8qRfipn?from=page_1002062656274875_profile&wvr=6&mod=weibotime
"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053075&ssig=DGeYf1mlGV","3月24日 21:50 来自 微博 weibo.com,3月24日 21:28
         来自 微博 weibo.com","【#奥运圣火传递暂时取消#】东京奥组委主席森喜朗正式宣布，原定3月26日从福岛县开始的日本国内圣火传递暂时不进行。将共同商讨今后的应对方案，配合奥运会延期的日程，重新安排圣火传递的日程。（总台记者王梦 何欣蕾）,【国际奥委会：#2020东京奥运会将于2021年举行# 名称不变】当地时间24日，国际奥委会宣布，鉴于新冠肺炎感染患者数量急剧增加，国际奥委会与东京奥组委、日本政府和东京都政府讨论后，决定推迟东京奥运会举办时间至2021年夏天举行，延期后的奥运会名称仍保留“2020东京奥运会”。（总台记者薛婧萌 李春 ​​​​...展开全文",267,230,1249,https://wx1.sinaimg.cn/orj360/9e5389bbly1gd5c976nn6j20go0gogvn.jpg,https://weibo.com/2656274875/IA8nc510z?from=page_1002062656274875_profile&wvr=6&mod=weibotime
"https://tvax4.sinaimg.cn/crop.0.0.512.512.1024/9e5389bbly8gdi6srn9zmj20e80e8mxj.jpg?KID=imgbed,tva&Expires=1597053075&ssig=DGeYf1mlGV",3月24日 21:38 来自 微博原生直播            	                                            已编辑,#岩松帮你问#【#危重症患者如何治疗#？】同济医院目前在接受治疗的615名新冠肺炎患者中，重症危重症患者占比超过一半。医院将对他们采取怎样的治疗？病患的心理问题又该如何疏解？白岩松特邀华中科技大学同济医院院长王伟，为您解读↓#共同战疫# 央视新闻的微博视频 . ​​​​,229,274,3646,,https://weibo.com/2656274875/IA8iviVfT?from=page_1002062656274875_profile&wvr=6&mod=weibotime
